userName,score,content,at,thumbsUpCount
Shubham kumar,1,"दलाल दलाल दलाल दलाल, क्या हुआ? कहाँ गए? क्यों गायब हो रहे हो? jantar mantar location not available blinkit tum bhi resign do दलाल दलाल दलाल दलाल, ये क्या चल रहा है? दलाल दलाल दलाल दलाल, स्थान बंद, सेवा खत्म, , सब कुछ बेकार। दलाल दलाल दलाल दलाल, बताओ क्या हो रहा है? दलाल दलाल दलाल दलाल –",2026-07-24 17:10:03,0
Unknown Name,5,okay now.................!????????????????????,2026-07-24 10:39:34,0
richa rai,1,update 3: since I stopped ordering from Blinkit 🎉 and Zomato company I have saved rs 8000 in just three months... plus efforts are saved on taking the mad delivery guys 📦... really happy with my decision...,2026-07-23 15:59:32,1
nilesh pandya,5,good prompt service,2026-07-23 14:52:58,1
Narendra Sharma,4,very quick sarvis,2026-07-23 14:50:59,1
ANISH KUMAR,1,"bakwas app hai, cancel order button nahi hai, or delevery boy ne 75 rupees scam kar liye mujhe se",2026-07-23 14:50:32,0
Harshada Dafale,5,service is amazing. but change in address becomes quite difficult.,2026-07-23 14:50:00,0
OMNI VEGETA 2,5,awesome delivery,2026-07-23 14:49:03,1
Manoj Raghav,5,this app is very nice and also soo useful,2026-07-23 14:48:05,0
Babli Sonker,4,Good Discount and fast delivery easy to selected item 👌,2026-07-23 14:47:02,1
Chandni Jha,5,very nice service provider,2026-07-23 14:46:11,1
Chandrani Das,5,"vry good,,,,soo fast,,,good to take Care.....love it .✌️✌️✌️✌️✌️✌️😊😊😊😊😊😊",2026-07-23 14:45:50,0
Rohan Shrivastav,4,Great performance,2026-07-23 14:43:36,0
Samarth Raj,5,good experience,2026-07-23 14:39:26,0
Anamika Sen,5,fast delivery great app 🫶,2026-07-23 14:38:38,0
Kumari Diksha,2,much more delivery charges,2026-07-23 14:37:29,0
Anjana Sachdeva,4,"blinkit app sabhi best app mein se ek hai, Jo hamare liye itni jaldi service deti Hai",2026-07-23 14:36:03,0
Yogesh Kumar,4,waiting for orders,2026-07-23 14:35:31,0
Swati Singh,1,"Initially there used to be a proper customer service but now the app has the automated AI agent which is utterly unhelpful and frustrating when you are trying to complain about an order. Since it can't distinguish between an order and the add on (allowed in the app if you forgot something), it treats the add on as the latest order and can't help with spoilt items in the main order.",2026-07-23 14:35:03,1
Venkatesh Betrala,1,worst experience with late delivery,2026-07-23 14:34:39,0
Rashmi Telkar,5,excellent service by Blinkit. Especially for medicines. it provides doctor's consultation also for free. and suggest you better medicines according to your health issues. India is growing!!,2026-07-23 14:32:59,0
Anurag Kushwaha,5,have a good experience ♥️,2026-07-23 14:32:20,0
Apoorv Shrivastava,1,Absolute scam of a company. ordered a product got defective and they refused to honor return or refund under disguise of non returnable item. Pathetic,2026-07-23 14:31:06,0
Amisha Chindalia,1,blinkit charging extra mony on everything i will never buy anything from now from blinkit. recently i purchase a lip balm from here so on others app this lip balm price is 198 or 188. but here 222 rs. this is so bad and now they are started adding 12 rs. handeling charge also . 10 minutes delivery is okay but they charged tooo much for everything. instead of this app you can use flipcart minutes or any other app.,2026-07-23 14:26:40,0
Guruprasad TS,1,no cash on delivery,2026-07-23 14:26:25,0
Nurish Saifi,5,nice delivery 🚚,2026-07-23 14:24:07,0
Sonal Nirwan,5,excellent service and products are of really very good quality 👌,2026-07-23 14:21:52,0
manish munu,1,expired products,2026-07-23 14:21:47,0
Manjari Singrallu,5,Fast and excellent service... customer-friendly representatives,2026-07-23 14:19:03,0
Srinivas rao,5,it is so good and pls give me 30% off in next order 🫶❤️,2026-07-23 14:11:35,0
Darshit Yadav,1,orders always take more than 35 mins,2026-07-23 14:09:28,0
Bhumika Jadhav,5,very fast and very helpful service,2026-07-23 14:09:01,0
Karnain Khan,4,service is pretty Good,2026-07-23 14:08:40,0
Meharaj Rahuman,2,address change kastama iruku,2026-07-23 13:58:08,0
Thanuja Ps,5,l like free delivery,2026-07-23 13:47:37,0
Arya Deohans,1,"Service is unavailable on Jantar Mantar Road in Connaught Place, New Delhi. This app is the epitome of disappointment, and those behind it seem to have lost touch with what it means to be humane.",2026-07-23 13:44:44,1
Gunjan Tanuj Goyal,5,Everything is available with very affordable price,2026-07-23 13:42:04,0
Ishank Chaurasiya,5,very good working 👍😃 I am so happy for this work 😊😁,2026-07-23 13:41:57,0
Vikram Kumar,1,price and quantities issue,2026-07-23 13:37:47,0
Love Sandy,5,quick delivery nice delivery,2026-07-23 13:31:51,0
gaurav lohar,5,"I have been using Blinkit for a long period now, today I am really happy to share my experience, I bought a watch from blinkit, but it was not working as I unboxed it, so I initiated a refund which was quick and in few minutes work, the delivery partner came soon and picked it and my refund was initiated, then I bought another brand but delivery guy got stuck because of his vehicle failure, instantly the blinkit support team (Mr Abhishek) helped and delivery was done so quick. really thanks 🙏",2026-07-23 13:29:12,0
Harikishan Durga,5,good time delivery,2026-07-23 13:27:51,0
Reshma Natikar,1,offer details please,2026-07-23 13:26:12,0
Yuvi Thakor,4,very good very convenient but price are bit expensive compare to other quick commerce site but overall its the best.,2026-07-23 13:26:11,0
Manju Choudhry,5,u r doing great job 🫡,2026-07-23 13:17:34,0
MANOJ DHANAWADE manya,1,3rd class coustomer service not available on this plat form gusy you make sure order will purches on cash on delivery,2026-07-23 13:12:19,1
Rupesh Raut,4,why delivery charge extra on each product,2026-07-23 13:12:04,0
unknown,1,no customer service,2026-07-23 13:11:27,1
Md.Sikander Ansari,1,"I am trying to talk to customer executive but failed due to blinkit server issue, I have ordered something related to food and it is bad condition, I want replacement or refund but unable to register my complaint. Now Blinkit team, what is the solution now?",2026-07-23 13:08:49,1
