source,company,complaint_title,complaint_text,complaint_date,complaint_status,complaint_url
consumercomplaints.in,Blinkit,Customer Harassment,"A ADuser Jun 16, 2026 Jun 16, 2026","Jun 16, 2026",Unresolved,https://www.consumercomplaints.in/blinkit-customer-harassment-c3542692
consumercomplaints.in,Blinkit,Mushroom,"S sivanageswararao from Vijayawada, Andhra Pradesh Jun 8, 2026 sivanageswararao from Vijayawada, Andhra Pradesh Jun 8, 2026 sivanageswararao from Vijayawada, Andhra Pradesh from Vijayawada, Andhra Pradesh Address: vijayawada Sir! i purchased Mushrooms in Blinkit store located in Kanuru. on saturday 7/9/2026 and i opened it on monday, it seems like a Rubber Material which stretches ... and i speak to Blinkit call centre they replied to me they are helpless to take back the product.. and they are nor aware about the product delivered. plz take necessary action on the store. thanking you sir, siva nageswara rao [protected] + 1 videos","Jun 8, 2026",Unresolved,https://www.consumercomplaints.in/blinkit-mushroom-c3542452
consumercomplaints.in,Blinkit,Unreasonable Return Rejection,"G [email protected] from Delhi, Delhi May 26, 2026 [email protected] from Delhi, Delhi May 26, 2026 [email protected] from Delhi, Delhi I am extremely disappointed with the response regarding my return request for the shoes I recently ordered from Blinkit. The shoes are extremely uncomfortable and feel very wobbly while walking, which can only be checked after actually wearing them. Your team rejected the return stating that the tag was removed. However, the “tag” was merely attached through a plastic thread, and that thread was only opened to check the comfort and fitting of the shoes. The actual tag is still safely with me. It was also a very disappointing experience speaking with your resolution team representative, Mr. Umar Farooq, over the phone. It is practically impossible for any customer to properly assess the comfort, stability, and walking experience of footwear without opening such a plastic thread and trying the shoes briefly. Also, if this policy is genuinely fair and customer-oriented, then the tags should ideally be attached separately to each shoe instead of both shoes being tightly connected together through a single plastic thread. When both shoes are completely tied together, how is any customer supposed to properly wear them and check the comfort, fitting, or walking experience before deciding whether the product is suitable or not? This condition is completely unreasonable for footwear products, where usability and comfort can only be evaluated after wearing them. The shoes do not meet acceptable comfort and quality standards, and rejecting a genuine return request on such technical grounds is unfair to customers.","May 26, 2026",Unresolved,https://www.consumercomplaints.in/blinkit-unreasonable-return-rejection-c3542078
consumercomplaints.in,Blinkit,Refund Denied for Defective Canon Printer Poor Customer Support,"R Rupanjan Bera from howrah, West Bengal May 20, 2026 Rupanjan Bera from howrah, West Bengal May 20, 2026 Rupanjan Bera from howrah, West Bengal Website: blinkit.com I purchased a Canon Pixma MG2570s printer from Blinkit (Order ID: ORD[protected]) on 09/02/2026. The printer was defective from the beginning and the issue was reported immediately with proper video proof. Problems included: * Low black ink warning after only 3–4 pages * Border printing defects * Severe text alignment issues Despite repeated follow-ups for months, Blinkit has provided no refund, replacement, or proper resolution. Instead, I was repeatedly redirected to Canon even though the entire transaction, payment, and order were processed through Blinkit. I also filed consumer grievances (8763922 and 9320143), but the complaints were closed without any actual remedy being provided. Due to the prolonged delay, repeated follow-ups, inconvenience, mental harassment, wastage of time, and unfair handling of the complaint for several months, I am demanding: * Full refund of the product amount * ₹50, 000 compensation for mental harassment, inconvenience, and unnecessary delay caused by the company Very poor after-sales support and highly disappointing consumer experience. Consumers should be careful while purchasing expensive electronics from Blinkit.","May 20, 2026",Closed,https://www.consumercomplaints.in/blinkit-refund-denied-for-defective-canon-printer-poor-customer-support-c3541897
consumercomplaints.in,Blinkit,Lifelong adjustable metal stand,"K Khasimansu from chennai, Tamil Nadu Feb 25, 2026 Khasimansu from chennai, Tamil Nadu Feb 25, 2026 Khasimansu from chennai, Tamil Nadu Address: Mir Bakshi Ali Street, Royapettah, Chennai 600 014 ORDER ID:#ORD[protected] I am writing to formally request a refund for a product I ordered on 24.02.2025 — a lifelong adjustable metal stand. Upon receiving the item, I found it to be damaged when I unpacked it. I immediately requested an exchange, and the replacement was provided. However, the replacement product is also of very poor quality. When I placed my refrigerator on the stand, the metal frame bent, making it unsafe and unusable. This product is clearly not fit for its intended purpose. I raised a complaint through your customer care chat, but my request for a return was refused. I am extremely disappointed, as I do not wish to keep an inferior and defective item. I kindly request you to reconsider my case and process a full refund at the earliest. Please let me know the return procedure. I look forward to your prompt resolution.","Feb 25, 2026",Unresolved,https://www.consumercomplaints.in/blinkit-lifelong-adjustable-metal-stand-c3539663
consumercomplaints.in,Blinkit,No Payment,"It is crucial to have a thorough grasp of the terms and conditions of any agreement in order to prevent loss. This was me until I took action after W w w. Solve̲nRe̲Me̲dY. TecH on Whatsapp: (+1)̲ ̲(̲3̲2̲0̲)̲ ̲(̲4̲5̲9̲)̲ ̲3̲3̲9̲4̲ Came through for me, and I received all my money back","Jan 2, 2026",Unresolved,https://www.consumercomplaints.in/blinkit-no-payment-c3538493
consumercomplaints.in,Blinkit,I have blocked my ID for the last 10 months.,"Address: Hyderabad toli chowki qutub sahi tombs pin cod 500008 Blinkit people blocked my ID saying order delayed, I am telling them that it will open but it is not opening, please get my ID opened please","Nov 3, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-i-have-blocked-my-id-for-the-last-10-months-c3536506
consumercomplaints.in,Blinkit,Refund Denied Despite Genuine Issue and Repeated Requests,"Address: Blinkit (Grofers India Pvt. Ltd.) Ground Floor, Emaar Digital Greens, Tower A, Golf Course Extension Road, Sector 61, Gurugram, Haryana â€“ 122102 Website: www.blinkit.com I placed an order on Blinkit and received a [wrong/damaged/incomplete/expired] product. I immediately contacted customer care and explained the issue politely. I even requested them with full respect for a one-time refund, as I am a regular customer. Despite multiple messages and efforts, the support team denied my request, citing policy issues. The executive was polite but clearly refused to escalate or offer any resolution. I feel this is highly disappointing and unfair, especially as this was a genuine problem from their end. I'm not trying to misuse any policy — I just want a fair resolution. Order ID: [ORD[protected]] I request this platform to help me get the refund or compensation I deserve. Blinkit’s customer service has failed to resolve the matter properly. + 1 videos","Aug 6, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-refund-denied-despite-genuine-issue-and-repeated-requests-c3533092
consumercomplaints.in,Blinkit,Contaminated Annapurna Ghee Delivered by Blinkit Unsafe for Consumption,"G Gurusharan Srivastava from Agra, Uttar Pradesh Aug 5, 2025 Aug 5, 2025","Aug 5, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-contaminated-annapurna-ghee-delivered-by-blinkit-unsafe-for-consumption-c3533029
consumercomplaints.in,Blinkit,Delivered Expired Food Product (Ghee) Unsafe and Negligent Service by Blinkit,"S ShaliniRamaiah from Gurugram, Haryana Jul 30, 2025 ShaliniRamaiah from Gurugram, Haryana Jul 30, 2025 ShaliniRamaiah from Gurugram, Haryana Website: Blinkit I placed an order on Blinkit and was delivered a pack of ghee that is already expired. This is not just unacceptable but extremely dangerous. I have a toddler at home, and if I hadn’t checked the expiry date, I could have unknowingly fed my child an expired product. This shows a complete failure in quality control and safety standards on Blinkit’s part. Selling expired consumable goods is a serious health hazard and must be dealt with strictly. I am not looking for just a refund — I demand: A full refund or replacement, A written explanation of how this happened, and Proof that proper checks will be enforced to ensure this does not happen again to any other customer. This kind of negligence is dangerous, especially for families with young children. I expect swift and serious action, or I will escalate this further through media and legal channels. Order ID: ORD[protected] Date of Delivery:[protected] Product: Ghee (Akshaya Kalpa- Expired)","Jul 30, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-delivered-expired-food-product-ghee-unsafe-and-negligent-service-by-blinkit-c3532757
