source,search_query,video_title,video_id,video_url,channel_name,comment_id,comment,author,likes,reply_count,published_at
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwGG88__9iN52IchQp4AaABAg,Bro Blinkit id ko dusre phone me kaise open hoga plz share video,@ShubhamPandey-h4k,0,0,5 days ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzK3ghQSzyojOeZyTR4AaABAg,Salary milti h ya khali incentive milta h,@Rohityadav91g,0,0,6 days ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,Ugylyh5NwuLrszQCJH54AaABAg,Bhai chuti kr skte h emergency m kbhi,@Rohityadav91g,0,0,6 days ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgxfTUlKHjbawfWXmNp4AaABAg,"ये काम वो करें जो भूखे मरने की कगार पर हो या नसेड़ी हो या बिलकुल अनपढ़ हो अच्छे लोगो के लिए ये काम बिलकुल नही है 
मेहनत भी है रेस्पेक्ट जीरो 
कोई और तो क्या ही इज्जत देगा खुद blinkit वाले तुम्हारी इज्जत नही करेंगे.. 🤮🤮🤮
अपना अहंकार ख़तम करना हो अपनी सेल्फ रेस्पेक्ट की भुंड मरानी हो तो तो ये काम कर लो
Blinkit से सारे ही अच्छे है चाहे zepto कर लो इंस्टामार्ट कर लो पर blinkit भूल कर भी मत करना 😂😂",@BhaskarUpadhyaya-h2y,0,0,2 weeks ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgyllLMtV0pgsoV1WId4AaABAg,Thank you bhai very good explanation ♥,@Manoj-85azm,1,0,4 weeks ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgxjeOWr6RUL96040BB4AaABAg,Sir agar order cancel hota hai to kya karna hoga,@arjunsharma8496,1,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwSCyZHQicMsISM6mR4AaABAg,Bhut acchi trh se smjaya h apne bhaiya dhanyawad,@DhirajGupta-j7r8j,2,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,Ugwk7pOy2ym1pvk3tvR4AaABAg,12:50     Diksha I Love Yooooouuuu 😍😍😍😍😍,@HelloYou-r1j,1,0,1 month ago (edited)
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,Ugwf7n7g3hkxzBTZMxN4AaABAg,Jitna tune ola mai bachiyaa hai 5saal baad osse jyada tujhe topi padegi ola ki,@reema56565,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwfbUegw353-zfm4id4AaABAg,Bhai ghanta kus nahi bachta sab scam hai koi job karlo safe vi rahogey jaha accident hua sidha uper banta kus nahi isme,@reema56565,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzBPhGJDqpG-Hf1Nz14AaABAg,Blinkit ka t shirt pehen ke jana compulsory hai kya ?,@KartikKalita-k4z,0,1,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwFnzM4h3dGsx3oiMp4AaABAg,DL nhi h to kaise join kre,@FirojSiddiqui-o1k,0,1,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgyPTP6XTBWGi0S7PS14AaABAg,Nice Promotion 😂,@luciburn52,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzU4OGekkisOvTyNa54AaABAg,Bhai isme stor change kaise karenge 😟,@jhstudy-c2i,1,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwG2dGyyid7bE6JrEZ4AaABAg,Bahut pyara video tha ❤,@AvinashKumar-g7j,4,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgyuIvHZTUVUc2fQL7h4AaABAg,Mera gigs sara incomplete hua hein kyu,@upakultarang6471,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgyV56vv5jZQehDHoWl4AaABAg,Sabse bada scam hai is tarah ki companies ka bhaiyo meri baat mano part time me koi skill sikho ko lifetime rahegi. Faltu kaam me wakt kharab mat karo isme sirf company badi banegi tumhari mehnat se aur tum piche reh jaaoge experience se bata raha hu,@hamdansk9,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwnKThvL5ZR6L37b9h4AaABAg,Part time ke kam me kitne paise milte hain?? Man lo 6 7ghante ka???  Full time karu yaa part time??,@akshaymorey976,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzHaBwCWkG2JBP09U54AaABAg,Very Well Explained,@ironman2600,0,1,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgytNesJo7JqOS1fTdt4AaABAg,Bhai agar DL nahi aur bike select ki hai to Bina DL ke ho jayga ya DL dena zaruri hoga,@SamadKhan-l1o3b,0,2,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzBPhGJDqpG-Hf1Nz14AaABAg.AYJz1Mi809WAYMpuqFanF0,Compulsory hota because selfie 🤳  bhi deni padti h fir apko selfie t shirt me deni hogi,@theshreemanji,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgwFnzM4h3dGsx3oiMp4AaABAg.AYJ9CDOJfQjAYJywFlHche,DL compulsory hai,@KartikKalita-k4z,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgzHaBwCWkG2JBP09U54AaABAg.AXYgXTxylYhAXaKwWlChsm,Thanks dear,@theshreemanji,0,0,1 month ago
youtube,Blinkit review,blinkit delivery job first day working || order pick and drop || full details 2026,bpoI3hs0f2Y,https://www.youtube.com/watch?v=bpoI3hs0f2Y,The Shreemanji,UgytNesJo7JqOS1fTdt4AaABAg.AXX120ghWRcAXaKhmo1kiP,ager bike select ki hai to dl dena hi hoga dear,@theshreemanji,0,0,1 month ago
